Autauga,AL,01001,32.53952745,-86.64408227,55869,,0.05,0.16,0.17,0.67,0.05,0.01,0.05,0.02,0.44,0.14,0.19,0.02,,0.13,0.2,1.25,0.08,0.05,0.16,0.12,1.17,0.07,0.1,0.14,0.14,0,0.43,0.8,0.07,0.17,0.09,0.01,0.02,0.04,0.23,0.01,0.11,0.16,0.03,0.39,0.12,8.26,45384
Baldwin,AL,01003,30.72774991,-87.72207058,223234,0,0.01,0.02,0.05,0,0.04,0.05,0.45,1,0.41,0.09,0.46,0.94,0.36,0.3,0.04,0.2,0.13,0.28,1.13,0.3,1.42,0.97,1.96,2.21,1.14,0.25,0.68,0.24,0.19,0.65,1.03,1.19,0.62,1.47,1.28,1.17,0.81,1.59,2.87,1.23,5.84,35.07,93882
Barbour,AL,01005,31.868263,-85.3871286,24686,0.01,0.34,0.08,0.1,0.19,0.17,0.07,0.57,2.29,1.3,1.04,6.64,0.72,0.26,2.28,0.69,1.31,0.38,1.1,2.26,0.63,3.88,1.19,0.78,0.37,0.58,0.38,1.05,0.84,0.86,0.49,0.97,1.74,0.24,0.75,0.61,0.33,0.87,0.29,0.07,0.68,0.29,39.69,72620
Bibb,AL,01007,32.99642064,-87.1251146,22394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.01,0.08,0.07,0,0.07,0.04,0.03,0.02,0.02,0.02,,0.42,4506
Blount,AL,01009,33.98210918,-86.56790593,57826,,,,0.22,0.18,0.09,0.07,0.02,0.03,0.09,0.15,0.13,0.02,0.03,0.03,0.01,0.01,0.04,0.08,0,0.01,0.03,0.02,0,0.04,0,,0.05,0.09,0.05,0.02,0.04,0,0.01,0.02,0.03,,0.11,0.09,0.03,0.03,0.02,1.89,39927
Bullock,AL,01011,32.10030533,-85.71265535,10101,,,0.27,0.28,0.14,0.15,0.28,0.17,0.12,0.04,0.12,0.46,0.14,0.03,0.13,0.1,0.03,0.01,0.15,0.44,0.17,0.46,0.01,0.07,0.07,0.05,0.06,0.37,0.35,0.28,0.24,0.4,0.42,0.06,0.26,0.14,0.09,0.26,0.24,0.08,0.21,0.09,7.44,22046
Butler,AL,01013,31.75300095,-86.68057478,19448,,,0,0.04,0.01,0,0.03,0.03,0.01,0.01,0.06,0.05,0.03,,0,0.03,0.01,0,0.08,0.06,0.07,0.21,0.19,0.5,0.17,0.04,0.08,0.33,0.33,0.27,0.2,0.15,0.61,0.09,0.06,0.05,0.08,0.16,0.09,0.12,0.38,0.16,4.79,31359
Calhoun,AL,01015,33.77483727,-85.82630386,113605,,,,,,0.01,0.01,0,,,,,,,,,0,,0,,0.03,0.08,0,0.02,0.17,0.01,0,0.15,0.2,0.05,0.03,0.12,0.02,0.04,0.2,0.07,0.01,0.29,0.16,0.04,0.13,0.05,1.89,33691
Chambers,AL,01017,32.91360079,-85.39072749,33254,,,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,0,0.01,,0.05,0.06,0.13,0.15,0.02,0.02,0.03,0.28,0.84,0.44,0.45,0.47,0.22,3.21,22649
Cherokee,AL,01019,34.17805983,-85.60638968,26196,0,0.06,0.13,0.15,0.19,0.05,0,0.09,0.05,0.01,0.01,0.02,,0,0.19,,1.22,0,0.06,0.03,1.55,0.54,0.02,0.2,1.21,0.02,0,0.75,1.25,0.21,0.35,0.89,0.27,0.18,0.22,0.05,0.45,1.24,1.11,0.17,0.83,0.53,14.3,68658
